V1	I(D1)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-03	2.776602e-10
2.000000000000000e-03	5.607843e-10
3.000000000000000e-03	8.494797e-10
4.000000000000000e-03	1.143856e-09
5.000000000000000e-03	1.444025e-09
6.000000000000000e-03	1.750101e-09
7.000000000000000e-03	2.062200e-09
8.000000000000000e-03	2.380441e-09
9.000000000000001e-03	2.704943e-09
1.000000000000000e-02	3.035832e-09
1.100000000000000e-02	3.373231e-09
1.200000000000000e-02	3.717270e-09
1.300000000000000e-02	4.068080e-09
1.400000000000000e-02	4.425792e-09
1.500000000000000e-02	4.790544e-09
1.600000000000000e-02	5.162473e-09
1.700000000000000e-02	5.541720e-09
1.800000000000000e-02	5.928432e-09
1.900000000000000e-02	6.322752e-09
2.000000000000000e-02	6.724832e-09
2.100000000000000e-02	7.134825e-09
2.200000000000000e-02	7.552885e-09
2.300000000000000e-02	7.979171e-09
2.400000000000000e-02	8.413847e-09
2.500000000000000e-02	8.857076e-09
2.600000000000000e-02	9.309026e-09
2.700000000000000e-02	9.769871e-09
2.800000000000000e-02	1.023978e-08
2.900000000000000e-02	1.071894e-08
3.000000000000000e-02	1.120753e-08
3.100000000000000e-02	1.170574e-08
3.200000000000000e-02	1.221374e-08
3.300000000000000e-02	1.273175e-08
3.400000000000000e-02	1.325995e-08
3.500000000000000e-02	1.379854e-08
3.600000000000000e-02	1.434773e-08
3.700000000000000e-02	1.490772e-08
3.800000000000000e-02	1.547874e-08
3.900000000000000e-02	1.606099e-08
4.000000000000000e-02	1.665470e-08
4.100000000000000e-02	1.726010e-08
4.200000000000000e-02	1.787740e-08
4.300000000000000e-02	1.850686e-08
4.400000000000000e-02	1.914870e-08
4.500000000000000e-02	1.980317e-08
4.600000000000000e-02	2.047052e-08
4.700000000000000e-02	2.115100e-08
4.800000000000000e-02	2.184487e-08
4.900000000000000e-02	2.255240e-08
5.000000000000000e-02	2.327385e-08
5.100000000000000e-02	2.400950e-08
5.200000000000000e-02	2.475962e-08
5.300000000000000e-02	2.552450e-08
5.400000000000000e-02	2.630444e-08
5.500000000000000e-02	2.709972e-08
5.600000000000000e-02	2.791065e-08
5.700000000000000e-02	2.873754e-08
5.800000000000000e-02	2.958070e-08
5.900000000000000e-02	3.044046e-08
6.000000000000000e-02	3.131713e-08
6.100000000000000e-02	3.221106e-08
6.200000000000000e-02	3.312257e-08
6.300000000000000e-02	3.405202e-08
6.400000000000000e-02	3.499976e-08
6.500000000000000e-02	3.596615e-08
6.600000000000000e-02	3.695156e-08
6.700000000000000e-02	3.795636e-08
6.800000000000000e-02	3.898093e-08
6.900000000000001e-02	4.002566e-08
7.000000000000001e-02	4.109095e-08
7.100000000000001e-02	4.217721e-08
7.200000000000001e-02	4.328484e-08
7.300000000000000e-02	4.441426e-08
7.400000000000000e-02	4.556591e-08
7.500000000000000e-02	4.674023e-08
7.600000000000000e-02	4.793765e-08
7.700000000000000e-02	4.915863e-08
7.800000000000000e-02	5.040365e-08
7.900000000000000e-02	5.167315e-08
8.000000000000000e-02	5.296765e-08
8.100000000000000e-02	5.428761e-08
8.200000000000000e-02	5.563355e-08
8.300000000000000e-02	5.700598e-08
8.400000000000001e-02	5.840541e-08
8.500000000000001e-02	5.983238e-08
8.600000000000001e-02	6.128744e-08
8.700000000000001e-02	6.277112e-08
8.799999999999999e-02	6.428400e-08
8.900000000000000e-02	6.582665e-08
9.000000000000000e-02	6.739966e-08
9.100000000000000e-02	6.900362e-08
9.200000000000000e-02	7.063915e-08
9.300000000000000e-02	7.230685e-08
9.400000000000000e-02	7.400737e-08
9.500000000000000e-02	7.574137e-08
9.600000000000000e-02	7.750948e-08
9.700000000000000e-02	7.931238e-08
9.800000000000000e-02	8.115077e-08
9.900000000000000e-02	8.302532e-08
1.000000000000000e-01	8.493677e-08
1.010000000000000e-01	8.688583e-08
1.020000000000000e-01	8.887324e-08
1.030000000000000e-01	9.089976e-08
1.040000000000000e-01	9.296617e-08
1.050000000000000e-01	9.507323e-08
1.060000000000000e-01	9.722176e-08
1.070000000000000e-01	9.941256e-08
1.080000000000000e-01	1.016465e-07
